description,vlan,usage,iPv4_address,mac_address,port,connected_to,last_seen,location,model,code
antMiner-120,1202,46.2 MB,10.12.0.40,de:42:a7:65:ea:bd,16,M12-POD2-04-sw,4/14/2022 00:39,M12-POD2-4-4-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-195,1202,46.8 MB,10.12.0.43,4c:29:7b:f3:3c:52,19,M12-POD2-04-sw,4/14/2022 00:39,M12-POD2-4-4-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-243,1202,46.8 MB,10.12.0.44,68:7d:f0:39:d0:17,8,M12-POD2-04-sw,4/14/2022 00:39,M12-POD2-4-2-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-369,1202,47.1 MB,10.12.0.49,28:cb:b3:14:fd:23,14,M12-POD2-03-sw,4/14/2022 00:39,M12-POD2-3-3-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-615,1202,45.3 MB,10.12.0.50,1a:c9:2e:3c:03:ca,16,M12-POD2-03-sw,4/14/2022 00:39,M12-POD2-3-4-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-109,1202,59.1 MB,10.12.0.54,e0:c8:31:a3:a6:c0,17,M12-POD2-03-sw,4/14/2022 00:39,M12-POD2-3-4-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-99,1202,46.7 MB,10.12.0.59,5e:60:69:77:d4:bc,15,M12-POD2-01-sw,4/14/2022 00:39,M12-POD2-1-3-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-256,1202,44.0 MB,10.12.0.65,b4:15:b9:fb:3d:a9,19,M12-POD2-01-sw,4/14/2022 00:39,M12-POD2-1-4-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-382,1202,47.9 MB,10.12.0.66,40:37:8b:34:7f:1a,14,M12-POD2-01-sw,4/14/2022 00:39,M12-POD2-1-3-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-327,1202,47.3 MB,10.12.0.67,84:64:1d:4d:65:c4,9,M12-POD2-01-sw,4/14/2022 00:39,M12-POD2-1-2-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-8,1202,51.6 MB,10.12.0.68,76:c3:de:bf:72:00,19,M12-POD2-03-sw,4/14/2022 00:39,M12-POD2-3-4-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-377,1202,46.6 MB,10.12.0.70,1e:36:79:d8:67:b7,7,M12-POD2-01-sw,4/14/2022 00:39,M12-POD2-1-2-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-85,1202,50.4 MB,10.12.0.73,9a:82:05:7a:51:dd,1,M12-POD2-01-sw,4/14/2022 00:39,M12-POD2-1-1-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-119,1202,47.1 MB,10.12.0.75,4c:2e:57:2e:e4:19,20,M12-POD2-03-sw,4/14/2022 00:39,M12-POD2-3-4-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-214,1202,41.3 MB,10.12.0.81,c4:03:5b:a7:77:62,13,M12-POD2-03-sw,4/14/2022 00:39,M12-POD2-3-3-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-233,1202,36.3 MB,10.12.0.84,5e:4c:3d:b0:26:79,15,M12-POD2-03-sw,4/14/2022 00:39,M12-POD2-3-3-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-326,1202,45.1 MB,10.12.0.86,02:67:ac:c4:8b:b4,7,M12-POD2-03-sw,4/14/2022 00:39,M12-POD2-3-2-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-342,1202,45.0 MB,10.12.0.88,34:d1:82:36:20:a8,8,M12-POD2-03-sw,4/14/2022 00:39,M12-POD2-3-2-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-77,1202,46.9 MB,10.12.0.92,d2:91:79:17:c6:85,10,M12-POD2-03-sw,4/14/2022 00:39,M12-POD2-3-2-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-38,1202,34.6 MB,10.12.0.98,16:d1:a1:3f:cf:58,16,M12-POD2-02-sw,4/14/2022 00:39,M12-POD2-2-4-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-123,1202,47.1 MB,10.12.0.99,e4:d2:6c:c5:48:00,3,M12-POD2-03-sw,4/14/2022 00:39,M12-POD2-3-1-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-232,1202,43.3 MB,10.12.0.100,f6:eb:3b:5a:30:d7,17,M12-POD2-02-sw,4/14/2022 00:39,M12-POD2-2-4-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-157,1202,46.4 MB,10.12.0.102,1a:7a:b1:84:21:b5,14,M12-POD2-04-sw,4/14/2022 00:39,M12-POD2-4-3-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-366,1202,46.9 MB,10.12.0.103,c6:e2:49:94:64:6f,20,M12-POD2-04-sw,4/14/2022 00:39,M12-POD2-4-4-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-130,1202,46.2 MB,10.12.0.108,46:76:20:a6:b3:1f,11,M12-POD2-01-sw,4/14/2022 00:39,M12-POD2-1-3-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-14,1202,72.9 MB,10.12.0.109,90:18:14:f1:4e:31,12,M12-POD2-01-sw,4/14/2022 00:39,M12-POD2-1-3-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-158,1202,47.0 MB,10.12.0.110,0e:4e:ba:d4:44:8c,13,M12-POD2-01-sw,4/14/2022 00:39,M12-POD2-1-3-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-323,1202,50.9 MB,10.12.0.113,6a:53:b9:78:2d:7e,18,M12-POD2-01-sw,4/14/2022 00:39,M12-POD2-1-4-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-65,1202,50.1 MB,10.12.0.118,80:d1:0a:c8:1f:dd,16,M12-POD2-01-sw,4/14/2022 00:39,M12-POD2-1-4-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-116,1202,45.9 MB,10.12.0.119,30:b4:1d:b8:d0:23,10,M12-POD2-02-sw,4/14/2022 00:39,M12-POD2-2-2-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-92,1202,44.3 MB,10.12.0.120,b6:3c:66:a1:4e:82,15,M12-POD2-02-sw,4/14/2022 00:39,M12-POD2-2-3-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-241,1202,42.6 MB,10.12.0.121,8c:92:a7:a2:6c:d5,20,M12-POD2-02-sw,4/14/2022 00:39,M12-POD2-2-4-5,Antminer T17+ (vnish 2.0.4), T17+
