name,mac_address,serial_number,model,pod
M12-POD2-1,34:56:fe:70:05:08,Q2TX-6GGE-DUFS,MS210-48,M12-POD2
M12-POD2-2,34:56:fe:70:03:b8,Q2TX-6G7T-G57L,MS210-48,M12-POD2
M12-POD2-3,34:56:fe:71:59:30,Q2TX-6CZB-47JN,MS210-48,M12-POD2
M12-POD2-4,34:56:fe:70:0c:e8,Q2TX-6J6C-ZD6E,MS210-48,M12-POD2
M12-POD2-5,34:56:fe:70:08:88,Q2TX-6H5Z-B4XV,MS210-48,M12-POD2
M12-POD2-6,34:56:fe:70:0e:70,Q2TX-6JGH-9HWB,MS210-48,M12-POD2
M12-POD2-7,34:56:fe:70:01:f8,Q2TX-6FNY-X7AW,MS210-48,M12-POD2
M12-POD2-8,34:56:fe:70:00:a8,Q2TX-6FDV-CNAG,MS210-48,M12-POD2
M12-POD2-9,34:56:fe:71:47:e8,Q2TX-68U7-TCJQ,MS210-48,M12-POD2
M12-POD2-10,34:56:fe:70:00:38,Q2TX-6FD6-34EV,MS210-48,M12-POD2
M12-POD2-11,34:56:fe:71:39:08,Q2TX-65AQ-A7XK,MS210-48,M12-POD2
M12-POD2-12,34:56:fe:70:02:a0,Q2TX-6FUP-QEPM,MS210-48,M12-POD2
M12-POD2-13,34:56:fe:70:07:70,Q2TX-6GUR-KBHW,MS210-48,M12-POD2
M12-POD2-14,34:56:fe:71:55:40,Q2TX-6BQY-3ZMN,MS210-48,M12-POD2
M12-POD2-15,34:56:fe:71:5c:e8,Q2TX-6E9A-TKQD,MS210-48,M12-POD2
M12-POD2-16,34:56:fe:71:53:f0,Q2TX-6BF3-EQY9,MS210-48,M12-POD2
M12-POD2-17,34:56:fe:71:4f:58,Q2TX-6A6B-J6VF,MS210-48,M12-POD2
M12-POD2-18,34:56:fe:71:51:f8,Q2TX-6AWU-NSZM,MS210-48,M12-POD2
M12-POD2-19,34:56:fe:71:3a:c8,Q2TX-65JN-K9RB,MS210-48,M12-POD2
M12-POD2-20,34:56:fe:71:56:c8,Q2TX-6C6X-LBUC,MS210-48,M12-POD2
M12-POD2-21,34:56:fe:71:4c:b8,Q2TX-69LT-UCTH,MS210-48,M12-POD2
M12-POD2-22,34:56:fe:71:4a:50,Q2TX-696L-9UJ4,MS210-48,M12-POD2
M12-POD2-23,34:56:fe:70:0a:80,Q2TX-6HME-JCJ8,MS210-48,M12-POD2
M12-POD2-24,34:56:fe:71:50:38,Q2TX-6ACR-TWZT,MS210-48,M12-POD2
M12-POD2-25,0c:8d:db:77:56:30,Q2TX-3GGY-LE4H,MS210-48,M12-POD2
M12-POD2-26,0c:8d:db:77:57:b8,Q2TX-3GTZ-YP6E,MS210-48,M12-POD2
M12-POD2-27,0c:8d:db:77:50:b8,Q2TX-3FGR-MW3R,MS210-48,M12-POD2
M12-POD2-28,0c:8d:db:77:5c:c0,Q2TX-3J4F-4KMH,MS210-48,M12-POD2
M12-POD2-29,0c:8d:db:77:58:28,Q2TX-3H2N-B4W4,MS210-48,M12-POD2
M12-POD2-30,0c:8d:db:77:5a:c8,Q2TX-3HKF-RYM7,MS210-48,M12-POD2
M12-POD2-31,0c:8d:db:77:5d:a0,Q2TX-3JAD-DJBP,MS210-48,M12-POD2
M12-POD2-32,0c:8d:db:77:5e:10,Q2TX-3JBS-66BC,MS210-48,M12-POD2
M12-POD2-33,0c:8d:db:77:50:80,Q2TX-3FBD-G23U,MS210-48,M12-POD2
M12-POD2-34,0c:8d:db:77:49:80,Q2TX-3DMK-XKDR,MS210-48,M12-POD2
M12-POD3-1,34:56:fe:71:6f:b8,Q2TX-CFRH-C76J,MS210-48,M12-POD3
M12-POD3-2,34:56:fe:71:6c:70,Q2TX-CFAD-4J58,MS210-48,M12-POD3
M12-POD3-3,e0:cb:bc:ae:73:80,Q2TX-37R9-JN8G,MS210-48,M12-POD3
M12-POD3-4,0c:8d:db:77:47:18,Q2TX-3D4U-KXWN,MS210-48,M12-POD3
